instance_id,timestamp,cpu,memory,gpu_utilization,gpu_memory_utilization,gpu_encoder_session_count,network_in,network_out,network_packets_in,network_packets_out,disk_read_ops,disk_write_ops,disk_read_bytes,disk_write_bytes,volume_read_bytes,volume_write_bytes,volume_read_ops,volume_write_ops
i-0abcd123,2026-03-01T00:00:00+00:00,81.67,87.47,25.38,19.3,4,1118383,1591218,2251,4631,1464,1104,420836,378393,121065,267857,1698,1213
i-0abcd123,2026-03-01T00:05:00+00:00,31.19,48.8,3.83,4.71,0,143871,174974,225,139,137,74,33260,7732,25304,65847,258,192
i-0abcd123,2026-03-01T00:10:00+00:00,24.9,42.48,1.68,4.78,1,155947,163359,235,315,159,141,26360,43226,14095,37043,190,475
i-0abcd123,2026-03-01T00:15:00+00:00,41.25,40.46,4.4,1.79,0,119693,82656,457,71,155,87,41792,12334,80351,83579,174,237
i-0abcd123,2026-03-01T00:20:00+00:00,44.25,61.58,2.01,3.42,1,103246,95696,495,52,107,141,20253,27423,26336,89538,130,140
i-0abcd123,2026-03-01T00:25:00+00:00,31.05,64.94,3.46,1.31,1,145309,108410,102,170,115,167,28540,31401,80075,41507,274,194
i-0abcd123,2026-03-01T00:30:00+00:00,43.87,37.15,0.14,3.06,0,122393,165629,222,235,107,175,5425,19843,72722,70604,125,474
i-0abcd123,2026-03-01T00:35:00+00:00,22.87,34.26,3.55,2.57,1,113716,125589,458,171,117,61,27621,5116,62933,42393,255,444
i-0abcd123,2026-03-01T00:40:00+00:00,38.22,58.11,1.35,1.91,1,172281,170740,75,128,91,120,16941,6149,86871,96962,192,340
i-0abcd123,2026-03-01T00:45:00+00:00,25.98,40.08,3.82,1.35,0,196308,172131,60,373,122,173,11088,5606,23753,28389,465,135
i-0abcd123,2026-03-01T00:50:00+00:00,36.4,30.44,2.32,3.85,0,121550,146861,255,486,135,154,32865,6409,61784,89791,375,125
i-0abcd123,2026-03-01T00:55:00+00:00,24.17,39.65,2.99,3.54,0,95819,96552,185,280,108,173,27892,40243,86315,51755,479,222
i-0abcd123,2026-03-01T01:00:00+00:00,26.6,63.46,4.36,2.57,0,96455,88375,348,297,191,113,27536,45603,51304,31089,195,282
i-0abcd123,2026-03-01T01:05:00+00:00,27.46,38.7,1.05,4.28,0,143797,101479,237,322,151,123,47587,12459,59990,98352,464,385
i-0abcd123,2026-03-01T01:10:00+00:00,21.96,57.34,3.95,0.69,0,163952,152511,276,356,159,176,11969,13536,13558,56801,274,296
i-0abcd123,2026-03-01T01:15:00+00:00,24.24,62.67,4.2,2.12,0,84529,96494,358,317,149,159,34388,39373,57079,98959,202,230
i-0abcd123,2026-03-01T01:20:00+00:00,35.06,48.15,3.16,0.3,1,136609,150932,162,53,187,168,35695,12128,23305,21496,172,240
i-0abcd123,2026-03-01T01:25:00+00:00,24.32,49.11,0.1,3.16,1,119047,168723,142,203,187,166,9754,37319,46998,18366,421,245
i-0abcd123,2026-03-01T01:30:00+00:00,15.85,44.14,0.45,2.47,1,92509,124087,347,295,127,104,11293,9746,79265,40874,499,473
i-0abcd123,2026-03-01T01:35:00+00:00,42.6,44.21,4.76,0.48,1,124461,179566,223,88,149,143,23445,11144,13128,96854,136,480
i-0abcd123,2026-03-01T01:40:00+00:00,29.16,41.62,1.73,3.28,1,141189,88821,242,408,99,94,8453,20838,45335,99940,279,307
i-0abcd123,2026-03-01T01:45:00+00:00,34.04,31.79,0.05,0.1,0,155278,158635,471,458,178,113,39978,32903,56938,92299,141,443
i-0abcd123,2026-03-01T01:50:00+00:00,23.19,57.64,4.34,4.36,0,162718,77711,285,95,113,175,39717,19571,99086,28236,498,314
i-0abcd123,2026-03-01T01:55:00+00:00,35.54,48.14,2.7,2.92,1,124662,75602,134,344,197,106,19595,32223,92301,83571,377,340
i-0abcd123,2026-03-01T02:00:00+00:00,20.35,54.18,1.56,3.41,1,178451,82531,118,475,134,81,43576,43473,51668,13249,276,443
i-0abcd123,2026-03-01T02:05:00+00:00,34.89,32.77,0.18,1.07,0,191751,85664,150,205,124,88,46999,48285,47557,58423,157,261
i-0abcd123,2026-03-01T02:10:00+00:00,19.21,42.58,2.18,3.79,1,82764,97829,110,215,84,155,10299,16832,77372,39243,347,327
i-0abcd123,2026-03-01T02:15:00+00:00,15.24,46.78,1.79,1.69,1,92848,98460,302,389,90,156,36016,46950,24580,18373,328,470
i-0abcd123,2026-03-01T02:20:00+00:00,29.47,61.1,0.28,0.39,0,83406,106490,141,118,105,178,12345,12960,60483,58242,263,184
i-0abcd123,2026-03-01T02:25:00+00:00,25.23,47.59,4.66,4.5,1,87104,128429,467,76,184,154,37602,13366,14010,14913,305,268
i-0abcd123,2026-03-01T02:30:00+00:00,16.77,34.3,2.93,3.76,0,121374,144290,304,380,82,143,16914,44868,90631,29544,178,279
i-0abcd123,2026-03-01T02:35:00+00:00,28.27,40.01,2.46,2.73,0,190968,136048,477,331,185,88,36156,38393,16527,99369,426,214
i-0abcd123,2026-03-01T02:40:00+00:00,33.9,63.58,1.58,2.98,1,139874,84102,94,291,146,71,6189,31229,68587,87827,173,364
i-0abcd123,2026-03-01T02:45:00+00:00,18.32,63.1,0.38,2.78,0,86150,134348,203,141,161,122,19355,6654,55162,55928,305,453
i-0abcd123,2026-03-01T02:50:00+00:00,29.4,64.39,2.75,4.48,1,114536,80045,301,387,177,106,10745,22631,67141,89954,235,456
i-0abcd123,2026-03-01T02:55:00+00:00,39.96,47.21,3.45,4.24,1,112816,72879,267,292,101,156,25230,25433,96461,83766,200,174
